station_code,country,helcom_subbasin,helcom_l3,helcom_l4,ices_ecoregion,ospar_region,ospar_subregion,is_amap_area,is_helcom_area,is_ospar_area,station_name,station_longname,station_replacedby,station_asmtmimeparent,station_activefromdate,station_activeuntildate,station_programgovernance,station_governance,station_purpm,station_latitude,station_latituderange,station_longitude,station_longituderange,station_geometry,station_datatype,station_wltyp,station_mstat,station_notes,station_deprecated
4786,Norway,NA,NA,NA,Greater North Sea,2,Northern North Sea,FALSE,FALSE,TRUE,502 HI_502S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,55.4,0.0045,0.35,0.008,"GEOMETRYCOLLECTION(POINT(0.35000 55.40000),POLYGON((0.34200 55.40450,0.35800 55.40450,0.35800 55.39550,0.34200 55.39550,0.34200 55.40450)))",CS,CF,RH,NA,FALSE
4785,Norway,NA,NA,NA,Greater North Sea,2,Northern North Sea,FALSE,FALSE,TRUE,497 HI_497S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,55.5,0.0045,1,0.008,"GEOMETRYCOLLECTION(POINT(1.00000 55.50000),POLYGON((0.99200 55.50450,1.00800 55.50450,1.00800 55.49550,0.99200 55.49550,0.99200 55.50450)))",CS,CF,B,NA,FALSE
4787,Norway,NA,NA,NA,Greater North Sea,2,Northern North Sea,FALSE,FALSE,TRUE,507 HI_507S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,55.5,0.0045,1.86667,0.008,"GEOMETRYCOLLECTION(POINT(1.86667 55.50000),POLYGON((1.85867 55.50450,1.87467 55.50450,1.87467 55.49550,1.85867 55.49550,1.85867 55.50450)))",CS,CF,RH,NA,FALSE
4788,Norway,NA,NA,NA,Greater North Sea,2,Southern North Sea,FALSE,FALSE,TRUE,510 HI_510S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,55.5,0.0045,3.2,0.008,"GEOMETRYCOLLECTION(POINT(3.20000 55.50000),POLYGON((3.19200 55.50450,3.20800 55.50450,3.20800 55.49550,3.19200 55.49550,3.19200 55.50450)))",CS,CF,RH,NA,FALSE
4789,Norway,NA,NA,NA,Greater North Sea,2,Southern North Sea,FALSE,FALSE,TRUE,514 HI_514S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,55.5,0.0045,5.2,0.008,"GEOMETRYCOLLECTION(POINT(5.20000 55.50000),POLYGON((5.19200 55.50450,5.20800 55.50450,5.20800 55.49550,5.19200 55.49550,5.19200 55.50450)))",CS,CF,RH,NA,FALSE
4790,Norway,NA,NA,NA,Greater North Sea,2,Southern North Sea,FALSE,FALSE,TRUE,516 HI_516S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,55.5,0.0045,6,0.008,"GEOMETRYCOLLECTION(POINT(6.00000 55.50000),POLYGON((5.99200 55.50450,6.00800 55.50450,6.00800 55.49550,5.99200 55.49550,5.99200 55.50450)))",CS,CF,IH,NA,FALSE
4792,Norway,NA,NA,NA,Greater North Sea,2,Southern North Sea,FALSE,FALSE,TRUE,530 HI_530S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,55.83333,0.0045,5.18333,0.008,"GEOMETRYCOLLECTION(POINT(5.18333 55.83333),POLYGON((5.17533 55.83783,5.19133 55.83783,5.19133 55.82883,5.17533 55.82883,5.17533 55.83783)))",CS,CF,RH,NA,FALSE
4784,Norway,NA,NA,NA,Greater North Sea,2,Northern North Sea,FALSE,FALSE,TRUE,496 HI_496S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,56,0.0045,1.2,0.008,"GEOMETRYCOLLECTION(POINT(1.20000 56.00000),POLYGON((1.19200 56.00450,1.20800 56.00450,1.20800 55.99550,1.19200 55.99550,1.19200 56.00450)))",CS,CF,RH,NA,FALSE
4791,Norway,NA,NA,NA,Greater North Sea,2,Southern North Sea,FALSE,FALSE,TRUE,527 HI_527S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,56,0.0045,6.35,0.008,"GEOMETRYCOLLECTION(POINT(6.35000 56.00000),POLYGON((6.34200 56.00450,6.35800 56.00450,6.35800 55.99550,6.34200 55.99550,6.34200 56.00450)))",CS,CF,IH,NA,FALSE
4783,Norway,NA,NA,NA,Greater North Sea,2,Northern North Sea,FALSE,FALSE,TRUE,495 HI_495S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,56.28333,0.0045,2.16667,0.00816,"GEOMETRYCOLLECTION(POINT(2.16667 56.28333),POLYGON((2.15850 56.28783,2.17483 56.28783,2.17483 56.27883,2.15850 56.27883,2.15850 56.28783)))",CS,CF,RH,NA,FALSE
4782,Norway,NA,NA,NA,Greater North Sea,2,Northern North Sea,FALSE,FALSE,TRUE,494 HI_494S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,56.5,0.0045,3.16667,0.00816,"GEOMETRYCOLLECTION(POINT(3.16667 56.50000),POLYGON((3.15850 56.50450,3.17483 56.50450,3.17483 56.49550,3.15850 56.49550,3.15850 56.50450)))",CS,CF,RH,NA,FALSE
4793,Norway,NA,NA,NA,Greater North Sea,2,Northern North Sea,FALSE,FALSE,TRUE,532 HI_532S,NA,NA,NA,1990,NA,OSPAR,Norwegian Institute of Water Research  (NIVA),S,56.5,0.0045,5.18333,0.00817,"GEOMETRYCOLLECTION(POINT(5.18333 56.50000),POLYGON((5.17517 56.50450,5.19150 56.50450,5.19150 56.49550,5.17517 56.49550,5.17517 56.50450)))",CS,CF,RH,NA,FALSE
