"","country","station_code","station_name","sample_latitude","sample_longitude","year","date","species","sex","n_individual","subseries","sample","determinand","matrix","basis","unit","value","censoring","limit_detection","limit_quantification","uncertainty","unit_uncertainty","method_pretreatment","method_analysis","method_extraction","targets_group"
"1","Norway",4954,"30A Gressholmen",NA,NA,1984,"1984-10-15","Mytilus edulis",NA,1,NA,5916,"CD","SB","W","mg/kg",0.18,"",NA,NA,20,"%",NA,NA,NA,"CD"
"2","Norway",4954,"30A Gressholmen",NA,NA,1984,"1984-10-15","Mytilus edulis",NA,1,NA,5917,"CD","SB","W","mg/kg",0.16,"",NA,NA,20,"%",NA,NA,NA,"CD"
"3","Norway",4954,"30A Gressholmen",NA,NA,1984,"1984-10-15","Mytilus edulis",NA,1,NA,5918,"CD","SB","W","mg/kg",0.22,"",NA,NA,20,"%",NA,NA,NA,"CD"
"4","Norway",4954,"30A Gressholmen",NA,NA,1985,"1985-10-15","Mytilus edulis",NA,1,NA,5919,"CD","SB","W","mg/kg",0.17982,"",NA,NA,20,"%",NA,NA,NA,"CD"
"5","Norway",4954,"30A Gressholmen",NA,NA,1985,"1985-10-15","Mytilus edulis",NA,1,NA,5920,"CD","SB","W","mg/kg",0.17556,"",NA,NA,20,"%",NA,NA,NA,"CD"
"6","Norway",4954,"30A Gressholmen",NA,NA,1985,"1985-10-15","Mytilus edulis",NA,1,NA,5921,"CD","SB","W","mg/kg",0.22,"",NA,NA,20,"%",NA,NA,NA,"CD"
"7","Norway",4954,"30A Gressholmen",NA,NA,1986,"1986-10-15","Mytilus edulis",NA,1,NA,5922,"CD","SB","W","mg/kg",0.26271,"",NA,NA,20,"%",NA,NA,NA,"CD"
"8","Norway",4954,"30A Gressholmen",NA,NA,1986,"1986-10-15","Mytilus edulis",NA,1,NA,5923,"CD","SB","W","mg/kg",0.27742,"",NA,NA,20,"%",NA,NA,NA,"CD"
"9","Norway",4954,"30A Gressholmen",NA,NA,1987,"1987-10-15","Mytilus edulis",NA,1,NA,5925,"CD","SB","W","mg/kg",0.126,"",NA,NA,20,"%",NA,NA,NA,"CD"
"10","Norway",4954,"30A Gressholmen",NA,NA,1987,"1987-10-15","Mytilus edulis",NA,1,NA,5926,"CD","SB","W","mg/kg",0.12354,"",NA,NA,20,"%",NA,NA,NA,"CD"
"11","Norway",4954,"30A Gressholmen",NA,NA,1987,"1987-10-15","Mytilus edulis",NA,1,NA,5928,"CD","SB","W","mg/kg",0.15549,"",NA,NA,20,"%",NA,NA,NA,"CD"
"12","Norway",4954,"30A Gressholmen",NA,NA,1988,"1988-10-15","Mytilus edulis",NA,1,NA,5929,"CD","SB","W","mg/kg",0.11766,"",NA,NA,20,"%",NA,NA,NA,"CD"
"13","Norway",4954,"30A Gressholmen",NA,NA,1988,"1988-10-15","Mytilus edulis",NA,1,NA,5930,"CD","SB","W","mg/kg",0.10614,"",NA,NA,20,"%",NA,NA,NA,"CD"
